Supercharger	Street Address	City	State	Zip	Country	Stalls	kW	GPS	Elev(m)	Status	Open Date	Links
Evansville, WY	6985 Nugget St	Evansville	WY	82636	USA	8	250	42.846691, -106.214485	1570	OPEN	2020-07-02	gmap | forum | tesla
Big Sky, MT	145 Town Center Ave	Gallatin Gateway	MT	59730	USA	8	150	45.2606761, -111.3062058	1920	OPEN	2020-07-02	gmap | forum | tesla
Beaumont, CA	1551 E 2nd St	Beaumont	CA	92223	USA	20	250	33.922543, -116.949167	779	OPEN	2020-07-02	gmap | forum | tesla
Chicago - O’Hare, IL	10909–10929 W Higgins Rd	Chicago	IL	60666	USA	14	150	41.99870660096533, -87.888457775115	195	OPEN	2020-07-02	gmap | forum | tesla
Louisville - Towne Center Drive, KY	4100 Towne Center Dr	Louisville	KY	40241	USA	8	250	38.299, -85.556056	211	OPEN	2020-07-01	gmap | forum | tesla
Great Falls, MT	2301 14th St SW	Great Falls	MT	59404	USA	8	250	47.48295, -111.337681	1023	OPEN	2020-06-27	gmap | forum | tesla
Reston, VA	1904 Reston Station Blvd	Reston	VA	20190	USA	8	250	38.949021, -77.339711	117	OPEN	2020-06-26	gmap | forum | tesla
Helena, MT	3120 Queen Anns St	Helena	MT	59602	USA	8	250	46.618173, -112.007628	1160	OPEN	2020-06-26	gmap | forum | tesla
White Marsh, MD	5361 Nottingham Dr.	White Marsh	MD	21236	USA	8	250	39.373985, -76.443133	22	OPEN	2020-06-26	gmap | forum | tesla
Farmville, VA	2016 S Main St.	Farmville	VA	23901	USA	8	250	37.271854, -78.401442	137	OPEN	2020-06-25	gmap | forum | tesla
Bethel, ME	211 Mayville Rd	Bethel	ME	04217	USA	6	250	44.424871, -70.796608	197	OPEN	2020-06-24	gmap | forum | tesla
Freehold, NJ	909 NJ-33	Freehold	NJ	07728	USA	8	250	40.238319, -74.228021	43	OPEN	2020-06-24	gmap | forum | tesla
Bismarck, ND	999 W Century Ave	Bismarck	ND	58503	USA	8	250	46.832972, -100.807222	557	OPEN	2020-06-20	gmap | forum | tesla
Flossmoor, IL	3800 Vollmer Rd	Flossmoor	IL	60422	USA	8	250	41.529391, -87.709287	212	OPEN	2020-06-19	gmap | forum | tesla
Glendive, MT	1919 N Merrill Ave	Glendive	MT	59330	USA	8	250	47.127042, -104.694456	642	OPEN	2020-06-19	gmap | forum | tesla
Oakland - Hegenberger Rd, CA	640 Hegenberger Rd	Oakland	CA	94621	USA	12	250	37.746403, -122.195614	4	OPEN	2020-06-18	gmap | forum | tesla
Miles City, MT	1815 S Haynes Ave	Miles City	MT	59301	USA	8	250	46.390475, -105.823359	732	OPEN	2020-06-18	gmap | forum | tesla
Dickinson, ND	1681 3rd Ave W	Dickinson	ND	58601	USA	8	250	46.901222, -102.790822	758	OPEN	2020-06-17	gmap | forum | tesla
Jamestown, ND	2400 8th Ave SW	Jamestown	ND	58401	USA	8	250	46.88465891260407, -98.719555735588	447	OPEN	2020-06-17	gmap | forum | tesla
Buena Park - Beach Blvd, CA	6911 Brenner Ave	Buena Park	CA	90621	USA	24	72	33.86044, -117.996347	23	OPEN	2020-06-17	gmap | forum | tesla
Centennial, CO	9535 E County Line Rd	Englewood	CO	80112	USA	12	250	39.567218, -104.877928	1776	OPEN	2020-06-14	gmap | forum | tesla
Hardeeville, SC	16319 Whyte Hardee Blvd	Hardeeville	SC	29927	USA	8	250	32.27012485, -81.08084499	8	OPEN	2020-06-13	gmap | forum | tesla
Miami - South Dixie Highway, FL	8312 Dixie Highway	Miami	FL	33143	USA	12	72	25.693198, -80.304898	3	OPEN	2020-06-11	gmap | forum | tesla
Mackinaw City, MI	801 S Huron Ave	Mackinaw City	MI	49701	USA	8	250	45.77225, -84.7265	180	OPEN	2020-06-10	gmap | forum | tesla
Hermosa Beach, CA	710 16th St	Hermosa Beach	CA	90254	USA	20	250	33.864955, -118.394819	25	OPEN	2020-06-10	gmap | forum | tesla
Pismo Beach, CA	333 Five Cities Dr	Pismo Beach	CA	93449	USA	12	250	35.136408, -120.628662	12	OPEN	2020-06-08	gmap | forum | tesla
Richmond - Pierce St, CA	3288 Pierce St	Richmond	CA	94804	USA	12	250	37.898736, -122.308672	4	OPEN	2020-05-30	gmap | forum | tesla
Kelso, WA	205 Three Rivers Dr	Kelso	WA	98626	USA	12	250	46.143403, -122.899225	6	OPEN	2020-05-29	gmap | forum | tesla
Fargo, ND	5680 23rd Ave S	Fargo	ND	58104	USA	8	250	46.843601, -96.882492	276	OPEN	2020-05-29	gmap | forum | tesla
Easton, MD	7655 Ocean Gateway	Easton	MD	21601	USA	8	250	38.759257, -76.061405	13	OPEN	2020-05-28	gmap | forum | tesla
Emporia, KS	1330 Industrial Rd	Emporia	KS	66801	USA	8	250	38.414266, -96.216714	354	OPEN	2020-05-28	gmap | forum | tesla
St. Louis Park, MN	3601 State Hwy 100 (MN-100)	St. Louis Park	MN	55416	USA	8	250	44.935964, -93.347857	269	OPEN	2020-05-27	gmap | forum | tesla
Hyannis, MA	425 Attucks Ln	Hyannis	MA	02601	USA	12	250	41.676619, -70.307049	21	OPEN	2020-05-20	gmap | forum | tesla
Bensalem, PA	3620 Street Rd	Bensalem	PA	19020	USA	8	250	40.124944, -74.963908	36	OPEN	2020-05-19	gmap | forum | tesla
White Hills, AZ	12683 White Hills Rd	Willow Beach	AZ	86445	USA	8	250	35.7, -114.476782	746	OPEN	2020-05-13	gmap | forum | tesla
Manteca - Spreckels Ave, CA	280 Spreckels Ave	Manteca	CA	95366	USA	12	250	37.795975, -121.19771	13	OPEN	2020-05-09	gmap | forum | tesla
Goleta, CA	7004 Market Pl Dr	Goleta	CA	93117	USA	12	250	34.427015, -119.871768	9	OPEN	2020-05-06	gmap | forum | tesla
Gilman, IL	1043 S Crescent St	Gilman	IL	60938	USA	8	250	40.752202, -87.996464	199	OPEN	2020-05-06	gmap | forum | tesla
Schertz, TX	17640 IH 35 N	Schertz	TX	78154	USA	8	150	29.598455, -98.276067	254	OPEN	2020-05-02	gmap | forum | tesla
Deltona, FL	3400 Howland Blvd	Deltona	FL	32725	USA	8	250	28.9498974, -81.2508045	16	OPEN	2020-04-25	gmap | forum | tesla
Middletown, DE	5018 Summit Bridge Rd	Middletown	DE	19709	USA	8	250	39.47951, -75.722099	20	OPEN	2020-04-22	gmap | forum | tesla
North Canaan, CT	11 E Main St	Canaan	CT	06018	USA	8	250	42.024331, -73.322684	207	OPEN	2020-04-17	gmap | forum | tesla
Revere, MA	40 Furlong Dr	Revere	MA	02151	USA	8	250	42.398547, -71.00021	3	OPEN	2020-04-11	gmap | forum | tesla
Richmond, IN	2507 Chester Blvd	Richmond	IN	47374	USA	8	250	39.868255, -84.886326	334	OPEN	2020-04-08	gmap | forum | tesla
Fort Lauderdale, FL	2620 W Broward Blvd	Fort Lauderdale	FL	33312	USA	8	250	26.120885, -80.177098	2	OPEN	2020-04-06	gmap | forum | tesla
Lakewood, CO	14500 W Colfax Ave	Lakewood	CO	80401	USA	16	250	39.733697, -105.154154	1750	OPEN	2020-03-31	gmap | forum | tesla
Forks, WA	100 Fern Hill Rd	Forks	WA	98331	USA	8	250	47.942522, -124.384748	93	OPEN	2020-03-30	gmap | forum | tesla
Novato, CA	208 Vintage Way	Novato	CA	94945	USA	20	150	38.089447, -122.551755	3	OPEN	2020-03-28	gmap | forum | tesla
Emeryville - Christie Ave, CA	5795 Christie Ave	Emeryville	CA	94608	USA	12	250	37.837506, -122.295407	4	OPEN	2020-03-28	gmap | forum | tesla
Mission Viejo, CA	555 Shops Blvd	Mission Viejo	CA	92691	USA	10	72	33.557279, -117.668035	120	OPEN	2020-03-25	gmap | forum | tesla
Leon Springs, TX	24165 W I-10 Frontage Rd	San Antonio	TX	78257	USA	10	150	29.665289, -98.633387	348	OPEN	2020-03-25	gmap | forum | tesla
Vancouver - NE Vancouver Mall Dr, WA	8700 NE Vancouver Mall Dr	Vancouver	WA	98662	USA	8	250	45.659872, -122.582467	74	OPEN	2020-03-24	gmap | forum | tesla
Tacna, AZ	9250 South Ave 40E	Tacna	AZ	95352	USA	8	250	32.690622, -113.953578	112	OPEN	2020-03-24	gmap | forum | tesla
Michigan City, IN	5150 Franklin St	Michigan City	IN	46360	USA	8	250	41.673833, -86.891234	201	OPEN	2020-03-24	gmap | forum | tesla
Fishkill, NY	18 Westage Dr	Fishkill	NY	12524	USA	12	250	41.52727858284335, -73.893152475357	65	OPEN	2020-03-22	gmap | forum | tesla
Tumwater, WA	2430 93rd Ave SW	Tumwater	WA	98512	USA	8	250	46.952944, -122.935111	61	OPEN	2020-03-21	gmap | forum | tesla
Northbrook, IL	840 Willow Rd	Northbrook	IL	60062	USA	8	250	42.107745, -87.802496	195	OPEN	2020-03-18	gmap | forum | tesla
Vero Beach, FL	9050 20th St	Vero Beach	FL	32966	USA	8	250	27.6400894, -80.5135068	7	OPEN	2020-03-16	gmap | forum | tesla
Lancaster, PA	518 Greenfield Rd	Lancaster	PA	17601	USA	8	250	40.052622, -76.254776	107	OPEN	2020-03-14	gmap | forum | tesla
New London, CT	369 N Frontage Rd	New London	CT	06320	USA	8	250	41.370726, -72.119398	38	OPEN	2020-03-07	gmap | forum | tesla
Washington - Wisconsin Ave NW, DC	1855 Wisconsin Ave NW	Washington	DC	20007	USA	8	72	38.91655, -77.066175	51	OPEN	2020-03-06	gmap | forum | tesla
Chestertown, NY	6151 NY-8	Chestertown	NY	12817	USA	6	250	43.665802, -73.784266	259	OPEN	2020-03-05	gmap | forum | tesla
Thornton, CO	237 E 120th Ave	Thornton	CO	80233	USA	8	250	39.914711, -104.986758	1635	OPEN	2020-02-28	gmap | forum | tesla
Copiague, NY	1147 Sunrise Hwy	Copiague	NY	11726	USA	8	250	40.688444, -73.4055	9	OPEN	2020-02-27	gmap | forum | tesla
Deerfield Beach, FL	20 SW 12th Ave	Deerfield Beach	FL	33442	USA	8	250	26.317736, -80.119643	4	OPEN	2020-02-25	gmap | forum | tesla
Williamsport, PA	105 Maynard St	Williamsport	PA	17701	USA	8	250	41.2328, -77.019865	160	OPEN	2020-02-25	gmap | forum | tesla
Bloomington, IN	3600 W Third St	Bloomington	IN	47404	USA	8	250	39.166222, -86.579116	261	OPEN	2020-02-25	gmap | forum | tesla
Riverside - Canyon Springs Pkwy, CA	2755 Canyon Springs Pkwy	Riverside	CA	92507	USA	12	250	33.939957, -117.282508	486	OPEN	2020-02-25	gmap | forum | tesla
Kokomo, IN	2301 E Markland Ave	Kokomo	IN	46901	USA	8	250	40.475169, -86.101306	249	OPEN	2020-02-25	gmap | forum | tesla
Lowell, AR	898 W Monroe Ave	Lowell	AR	72745	USA	8	250	36.255329, -94.152637	401	OPEN	2020-02-21	gmap | forum | tesla
Maple Shade, NJ	2801 Route 73 South	Maple Shade	NJ	08052	USA	8	250	39.937134, -74.970511	17	OPEN	2020-02-21	gmap | forum | tesla
Ashburn, VA	43300 Southern Walk Plaza	Ashburn	VA	20148	USA	8	250	39.008466, -77.504972	99	OPEN	2020-02-20	gmap | forum | tesla
Clearwater, FL	26508 US Highway 19	Clearwater	FL	33761	USA	8	250	28.013295, -82.736244	25	OPEN	2020-02-18	gmap | forum | tesla
Roseville - Galleria Boulevard, CA	1112 Galleria Blvd	Roseville	CA	95678	USA	20	150	38.767949, -121.263356	69	OPEN	2020-02-18	gmap | forum | tesla
Ochopee, FL	47801 W State Rd 84	Ochopee	FL	34141	USA	12	250	26.174361, -80.855694	4	OPEN	2020-02-14	gmap | forum | tesla
South San Francisco, CA	250 Gateway Blvd	South San Francisco	CA	94080	USA	20	72	37.655243, -122.401321	7	OPEN	2020-02-14	gmap | forum | tesla
Alexandria, MN	4404 State Hwy 29	Alexandria	MN	56308	USA	8	250	45.850405, -95.388969	427	OPEN	2020-02-14	gmap | forum | tesla
Lafayette, LA	Stirling Center Dr	Lafayette	LA	70501	USA	8	250	30.265264, -91.994232	3	OPEN	2020-02-13	gmap | forum | tesla
Meriden, CT	903 East Main St	Meriden	CT	06450	USA	8	250	41.527018, -72.773982	98	OPEN	2020-02-09	gmap | forum | tesla
Cheektowaga, NY	525–533 Duke Rd	Buffalo	NY	14225	USA	8	250	42.90741, -78.762239	199	OPEN	2020-02-08	gmap | forum | tesla
Madison, VA	2902 S Seminole Trail	Madison	VA	22727	USA	8	250	38.34664, -78.286103	192	OPEN	2020-02-07	gmap | forum | tesla
Oneonta, NY	4968 NY-23	Oneonta	NY	13820	USA	8	250	42.447575, -75.048622	334	OPEN	2020-02-07	gmap | forum | tesla
Ocean City, MD	12826A Ocean Gateway	West Ocean City	MD	21842	USA	8	250	38.335586, -75.104509	2	OPEN	2020-02-07	gmap | forum | tesla
Grove City, PA	1931 Butler Pike	Grove City	PA	16127	USA	8	250	41.143778, -80.157055	395	OPEN	2020-02-07	gmap | forum | tesla
Idaho Springs, CO	1319 Miner St	Idaho Springs	CO	80452	USA	8	250	39.741549, -105.518358	2303	OPEN	2020-02-06	gmap | forum | tesla
Lynchburg, VA	14480 Wards Rd	Lynchburg	VA	24502	USA	8	250	37.32486, -79.190523	283	OPEN	2020-02-06	gmap | forum | tesla
Madison - Northbound, CT	I-95 N	Madison	CT	06443	USA	10	250	41.2900852, -72.5803292	13	OPEN	2020-01-30	gmap | forum | tesla
Madison - Southbound, CT	I-95 S	Madison	CT	06443	USA	10	250	41.2915926, -72.5790793	14	OPEN	2020-01-30	gmap | forum | tesla
Scotts Valley, CA	230 Mount Hermon Rd	Scotts Valley	CA	95066	USA	16	250	37.047608, -122.027743	161	OPEN	2020-01-30	gmap | forum | tesla
Miami - SW 24th Street, FL	6971 SW 24th St	Miami	FL	33155	USA	8	250	25.7485018, -80.3084064	2	OPEN	2020-01-30	gmap | forum | tesla
North Bethesda, MD	11860 Trade St	North Bethesda	MD	20852	USA	8	72	39.050339, -77.11657	119	OPEN	2020-01-28	gmap | forum | tesla
Flushing, NY	136-20 38th Ave	Flushing	NY	11354	USA	4	72	40.760821, -73.829676	14	OPEN	2020-01-28	gmap | forum | tesla
Manhattan - Vesey St, NY	250 Vesey St	New York	NY	10281	USA	2	72	40.714062, -74.015837	6	OPEN	2020-01-28	gmap | forum | tesla
Swartz Creek, MI	4141 Morrish Rd	Swartz Creek	MI	48473	USA	10	150	42.96744, -83.828794	239	OPEN	2020-01-28	gmap | forum | tesla
Rockville, MD	30 Maryland Ave	Rockville	MD	20850	USA	8	72	39.085997, -77.149696	130	OPEN	2020-01-25	gmap | forum | tesla
Wareham, MA	Wareham Crossing, 2421 Cranberry Hwy	Wareham	MA	02571	USA	12	150	41.775093, -70.744321	19	OPEN	2020-01-15	gmap | forum | tesla
Kissimmee, FL	7940 W Irlo Bronson Memorial Hwy	Kissimmee	FL	34747	USA	8	150	28.34551, -81.604567	33	OPEN	2020-01-13	gmap | forum | tesla
Chestnut Hill, MA	55 Boylston St	Chestnut Hill	MA	02467	USA	8	150	42.322031, -71.172395	52	OPEN	2020-01-10	gmap | forum | tesla
Alpharetta, GA	5185 1st St	Alpharetta	GA	30009	USA	10	72	34.071582, -84.275404	336	OPEN	2020-01-08	gmap | forum | tesla
Moses Lake, WA	2709 W Broadway Ave	Moses Lake	WA	98837	USA	12	150	47.103505, -119.310203	329	OPEN	2020-01-03	gmap | forum | tesla
Skowhegan, ME	496 Madison Ave	Skowhegan	ME	04976	USA	8	150	44.780304, -69.727027	74	OPEN	2020-01-01	gmap | forum | tesla
Staten Island - Veterans Rd W, NY	2925 Veterans Rd W	Staten Island	NY	10309	USA	12	150	40.527562, -74.231359	30	OPEN	2019-12-31	gmap | forum | tesla
Rochester, NH	290 North Main St	Rochester	NH	03867	USA	8	150	43.310917, -70.993265	71	OPEN	2019-12-26	gmap | forum | tesla
New River, AZ	3906 W New River Rd	New River	AZ	85087	USA	10	150	33.91578, -112.14417	621	OPEN	2019-12-25	gmap | forum | tesla
Reno - N Sierra St, NV	303 N Sierra St	Reno	NV	89503	USA	16	250	39.529389, -119.815667	1374	OPEN	2019-12-24	gmap | forum | tesla
Anaheim - E Katella Ave, CA	2404 E Katella Ave	Anaheim	CA	92806	USA	16	250	33.805168, -117.882173	49	OPEN	2019-12-24	gmap | forum | tesla
Fairfield - Northbound, CT	165 Round Hill Rd	Fairfield	CT	06824	USA	12	250	41.146266, -73.257157	15	OPEN	2019-12-23	gmap | forum | tesla
Spokane, WA	10506 W Aero Rd	Spokane	WA	99224	USA	8	250	47.590359, -117.56168	739	OPEN	2019-12-21	gmap | forum | tesla
Fairfield - Southbound, CT	267 Round Hill Rd	Fairfield	CT	06824	USA	8	250	41.148076, -73.255582	14	OPEN	2019-12-20	gmap | forum | tesla
Williams, CA	464 6th St	Williams	CA	95987	USA	12	250	39.15608, -122.149408	25	OPEN	2019-12-19	gmap | forum | tesla
Guaynabo, PR	2–98 Calle Tabonuco	Guaynabo	PR	00968	USA	2	72	18.405993, -66.106131	15	OPEN	2019-12-18	gmap | forum | tesla
Alvarado, TX	3313 S. Burleson Blvd	Burleson	TX	76009	USA	10	150	32.463609, -97.264284	257	OPEN	2019-12-15	gmap | forum | tesla
Boonton, NJ	550 Myrtle Ave	Boonton	NJ	07005	USA	10	150	40.907627, -74.3976	118	OPEN	2019-12-14	gmap | forum | tesla
North Bend, WA	46600 SE North Bend Way	North Bend	WA	98045	USA	8	250	47.468107, -121.716454	209	OPEN	2019-12-12	gmap | forum | tesla
Orleans, MA	10 Route 6A	Orleans	MA	02653	USA	12	150	41.796653, -69.985961	1	OPEN	2019-12-07	gmap | forum | tesla
Metter, GA	1118 S Lewis St	Metter	GA	30349	USA	8	250	32.378566, -82.062539	58	OPEN	2019-11-27	gmap | forum | tesla
Ehrenberg, AZ	14320 Frontage Rd N	Ehrenberg	AZ	85334	USA	8	250	33.601666, -114.522376	101	OPEN	2019-11-27	gmap | forum | tesla
Frederick, MD	5500 Buckeystown Pike	Frederick	MD	21703	USA	10	150	39.384693, -77.405494	90	OPEN	2019-11-26	gmap | forum | tesla
Pasadena, CA	155 E Green St	Pasadena	CA	91105	USA	24	72	34.144835, -118.146609	258	OPEN	2019-11-26	gmap | forum | tesla
Red Bluff, CA	94 Belle Mill Rd	Red Bluff	CA	96080	USA	8	250	40.182152, -122.227452	82	OPEN	2019-11-26	gmap | forum | tesla
Hattiesburg, MS	6109 US-98 W	Hattiesburg	MS	39402	USA	8	150	31.322701, -89.38188	77	OPEN	2019-11-24	gmap | forum | tesla
McComb, MS	1436 Delaware Ave	McComb	MS	39648	USA	8	150	31.248479, -90.471779	137	OPEN	2019-11-23	gmap | forum | tesla
Nashville, TN	61 E Thompson Ln	Nashville	TN	37211	USA	8	250	36.110444, -86.723917	151	OPEN	2019-11-23	gmap | forum | tesla
Cary, NC	7119 O'Kelly Chapel Rd	Cary	NC	27519	USA	12	150	35.843605, -78.886448	103	OPEN	2019-11-22	gmap | forum | tesla
Hawthorne - El Segundo Blvd, CA	4427 W El Segundo Blvd	Hawthorne	CA	90250	USA	12	72	33.918036, -118.353197	22	OPEN	2019-11-22	gmap | forum | tesla
Menlo Park, CA	325 Sharon Park Dr	Menlo Park	CA	94025	USA	18	72	37.423372, -122.198189	59	OPEN	2019-11-21	gmap | forum | tesla
Santa Rosa, CA	380 Coddingtown Way	Santa Rosa	CA	95401	USA	20	250	38.459554, -122.73023	45	OPEN	2019-11-20	gmap | forum | tesla
Napa - Factory Stores Drive, CA	629 Factory Stores Dr	Napa	CA	94558	USA	20	150	38.297635, -122.302617	15	OPEN	2019-11-16	gmap | forum | tesla
Tahoe City, CA	140 N. Lake Blvd	Tahoe City	CA	96145	USA	6	150	39.167793, -120.14453	1901	OPEN	2019-11-15	gmap | forum | tesla
Hanover, MD	7787 Arundel Mills Blvd	Hanover	MD	21076	USA	8	72	39.153272, -76.743717	51	OPEN	2019-11-14	gmap | forum | tesla
Newport News, VA	12300 Jefferson Ave	Newport News	VA	23602	USA	12	150	37.114233, -76.494498	10	OPEN	2019-11-14	gmap | forum | tesla
South Padre Island, TX	100 Padre Blvd	South Padre Island	TX	78597	USA	2	72	26.081436, -97.16109	5	OPEN	2019-11-12	gmap | forum | tesla
Charlotte - Toringdon Way, NC	3429 Toringdon Way	Charlotte	NC	28277	USA	12	150	35.069252, -80.842291	174	OPEN	2019-11-09	gmap | forum | tesla
Palo Alto - Stanford Shopping Center, CA	660 Stanford Shopping Center	Palo Alto	CA	94304	USA	20	72	37.441722, -122.170271	22	OPEN	2019-11-05	gmap | forum | tesla
Morgan Hill, CA	1061 Cochrane Rd	Morgan Hill	CA	95037	USA	14	72	37.156827, -121.653693	117	OPEN	2019-10-24	gmap | forum | tesla
Walnut Creek, CA	1181 Locust St	Walnut Creek	CA	94596	USA	24	72	37.895277, -122.061828	50	OPEN	2019-10-24	gmap | forum | tesla
Tusayan, AZ	149 AZ-64	Grand Canyon Village	AZ	86023	USA	12	150	35.969448, -112.127675	2008	OPEN	2019-10-23	gmap | forum | tesla
Auburn, WA	1101 Outlet Collection Way SW	Auburn	WA	98001	USA	10	150	47.297976, -122.248274	25	OPEN	2019-10-22	gmap | forum | tesla
Irvine - Michelson Dr, CA	3021 Michelson Dr	Irvine	CA	92612	USA	12	72	33.673394, -117.844666	8	OPEN	2019-10-20	gmap | forum | tesla
Giddings, TX	3025 E Austin St	Giddings	TX	78942	USA	8	150	30.178912, -96.907004	146	OPEN	2019-10-20	gmap | forum | tesla
Jackman, ME	407 Main St	Jackman	ME	04945	USA	4	150	45.624071, -70.25201	374	OPEN	2019-10-19	gmap | forum | tesla
Toms River, NJ	379 Dover Rd	Toms River	NJ	07857	USA	8	150	39.941683, -74.211995	17	OPEN	2019-10-18	gmap | forum | tesla
Lithonia, GA	3045 Panola Rd	Lithonia	GA	30038	USA	12	150	33.69893, -84.173181	275	OPEN	2019-10-17	gmap | forum | tesla
Portland, ME	295 Forest Ave	Portland	ME	04101	USA	12	150	43.664423, -70.269631	4	OPEN	2019-10-17	gmap | forum | tesla
Medway, ME	1941 Medway Rd	Medway	ME	04460	USA	8	150	45.609675, -68.522956	103	OPEN	2019-10-17	gmap | forum | tesla
Blaine, WA	8135 Birch Bay Square St	Blaine	WA	98230	USA	14	150	48.937851, -122.667679	18	OPEN	2019-10-11	gmap | forum | tesla
Henrietta, TX	237 Frontage Rd	Henrietta	TX	76365	USA	12	150	33.80051, -98.196588	266	OPEN	2019-10-05	gmap | forum | tesla
Smithfield, NC	1700 E Market St	Smithfield	NC	27577	USA	8	150	35.505, -78.325583	45	OPEN	2019-10-04	gmap | forum | tesla
Menifee, CA	30340 Haun Rd	Menifee	CA	92584	USA	14	150	33.679646, -117.174095	435	OPEN	2019-09-30	gmap | forum | tesla
Middletown, NY	601 E Main St	Middletown	NY	10941	USA	8	150	41.442449, -74.376565	136	OPEN	2019-09-28	gmap | forum | tesla
Lake Geneva, WI	7036 Grand Geneva Way	Lake Geneva	WI	53147	USA	6	150	42.60901, -88.407819	272	OPEN	2019-09-26	gmap | forum | tesla
Milpitas - Great Mall, CA	1234 Great Mall Dr	Milpitas	CA	95035	USA	20	72	37.413353, -121.897995	11	OPEN	2019-09-20	gmap | forum | tesla
Newark, CA	3100 Newpark Mall	Newark	CA	94560	USA	16	72	37.525905, -122.006624	9	OPEN	2019-09-19	gmap | forum | tesla
Webster, TX	1141 S Kobayashi Dr	Webster	TX	77598	USA	12	150	29.519213, -95.121843	5	OPEN	2019-09-18	gmap | forum | tesla
Rancho Mirage, CA	71800 CA-111	Rancho Mirage	CA	92270	USA	24	72	33.741311, -116.409258	70	OPEN	2019-09-18	gmap | forum | tesla
Richmond, CA	2157 Meeker Ave	Richmond	CA	94804	USA	12	150	37.919969, -122.348976	4	OPEN	2019-09-16	gmap | forum | tesla
Baileyville, ME	32 Houlton Rd	Baileyville	ME	04694	USA	8	150	45.123159, -67.348144	34	OPEN	2019-09-12	gmap | forum | tesla
Placerville, CA	1184 Broadway	Placerville	CA	95667	USA	12	150	38.730606, -120.788085	578	OPEN	2019-08-31	gmap | forum | tesla
Incline Village, NV	930 Tahoe Blvd	Incline Village	NV	89451	USA	10	150	39.250765, -119.948927	1964	OPEN	2019-08-30	gmap | forum | tesla
Austin - Research Blvd, TX	9800 Stonelake Blvd	Austin	TX	78759	USA	18	72	30.389333, -97.73975	261	OPEN	2019-08-28	gmap | forum | tesla
San Antonio, TX	11745 IH-10 West	San Antonio	TX	78230	USA	10	122	29.549585, -98.582722	305	OPEN	2019-08-22	gmap | forum | tesla
Acworth, GA	3500 Baker Rd	Acworth	GA	30101	USA	12	150	34.075443, -84.652009	297	OPEN	2019-08-19	gmap | forum | tesla
Hudsonville, MI	4075 32nd Ave	Hudsonville	MI	49426	USA	10	150	42.843659, -85.862462	221	OPEN	2019-08-16	gmap | forum | tesla
Albert Lea - Happy Trails Lane, MN	820 Happy Trails Ln	Albert Lea	MN	56007	USA	8	150	43.657608, -93.318547	382	OPEN	2019-08-15	gmap | forum | tesla
Stamford, CT	1250 Summer St	Stamford	CT	06905	USA	12	72	41.067836, -73.545266	10	OPEN	2019-08-09	gmap | forum | tesla
North Stamford, CT	1115 High Ridge Rd	Stamford	CT	06905	USA	8	150	41.107885, -73.5469602	45	OPEN	2019-08-09	gmap | forum | tesla
Lynnfield, MA	MarketStreet Lynnfield, 600 Market St	Lynnfield	MA	01940	USA	12	150	42.516609, -71.032521	33	OPEN	2019-08-02	gmap | forum | tesla
Braintree, MA	250 Granite St	Braintree	MA	02184	USA	8	72	42.222955, -71.021964	23	OPEN	2019-07-26	gmap | forum | tesla
Cape May Court House, NJ	11 Court House South Dennis Rd	Cape May	NJ	08210	USA	12	150	39.088417, -74.8215	3	OPEN	2019-07-26	gmap | forum | tesla
Watsonville, CA	1415 Main St	Watsonville	CA	95076	USA	14	72	36.916349, -121.773512	15	OPEN	2019-07-24	gmap | forum | tesla
Ithaca, NY	744 S Meadow St	Ithaca	NY	14850	USA	8	150	42.428639, -76.509111	117	OPEN	2019-07-24	gmap | forum | tesla
Ojai, CA	987 W Ojai Ave	Ojai	CA	93023	USA	12	72	34.441994, -119.258898	236	OPEN	2019-07-23	gmap | forum | tesla
Leesburg, VA	1602 Village Market Blvd SE Suite 215	Leesburg	VA	20175	USA	10	72	39.089677, -77.526324	77	OPEN	2019-07-20	gmap | forum | tesla
Riverdale Park, MD	6761 45th St	Riverdale	MD	20737	USA	8	72	38.970361, -76.937333	38	OPEN	2019-07-19	gmap | forum | tesla
Las Vegas - The LINQ High Roller, NV	3993 Audrie St	Las Vegas	NV	89109	USA	24	250	36.11671, -115.168258	636	OPEN	2019-07-19	gmap | forum | tesla
West Nyack, NY	1920 Palisades Center Dr	West Nyack	NY	10994	USA	20	150	41.094692, -73.955497	19	OPEN	2019-07-16	gmap | forum | tesla
Basking Ridge, NJ	403 King George Rd	Basking Ridge	NJ	07920	USA	8	150	40.655361, -74.529919	67	OPEN	2019-07-14	gmap | forum | tesla
Robbinsville, NJ	255 Robbinsville Allentown Rd	Robbinsville Twp	NJ	08691	USA	8	150	40.1941978, -74.5953015	336	OPEN	2019-07-13	gmap | forum | tesla
Seattle - Union St, WA	601 Union St	Seattle	WA	98101	USA	10	72	47.609686, -122.332152	54	OPEN	2019-07-09	gmap | forum | tesla
Laytonville, CA	45020 North Highway 101	Laytonville	CA	95454	USA	8	150	39.689269, -123.483443	502	OPEN	2019-06-28	gmap | forum | tesla
Henderson, NC	619 Ruin Creek Rd	Henderson	NC	27536	USA	8	150	36.329537, -78.447534	139	OPEN	2019-06-22	gmap | forum | tesla
Hayward, CA	19661 Hesperian Blvd	Hayward	CA	94541	USA	14	72	37.667227, -122.120338	12	OPEN	2019-06-22	gmap | forum | tesla
